"Feature","Gain","Cover","Frequence"
"Category1",0.264867113917845,0.0890876569494179,0.0263334290912573
"Category2",0.184596049471553,0.100967401674531,0.055587474863545
"Duration",0.0867287988052044,0.0832722805730361,0.0918797280474959
"Registration_Month",0.0857723853262223,0.126911284539833,0.115148903571771
"Camp_Start_wkDay",0.0809817759600565,0.0971742580674858,0.0590826390883846
"Camp_Start_Month",0.0728256675479379,0.0937739188103563,0.0652111462223499
"Income",0.0626415019440672,0.0780261234207689,0.062482045389256
"City_Type",0.039131700912696,0.0706488376200494,0.107536148616298
"Education_Score",0.0257459073369027,0.0472954221303824,0.0726802642918701
"Employer_Category",0.0223772717012736,0.036806903405105,0.07536148616298
"Registration_wkDay",0.0191726735451993,0.0342672807096175,0.0990615723451116
"Var1",0.0172500863198027,0.041309256285126,0.0527626161064828
"Age",0.0121151117886664,0.0194922566485747,0.0377286220434741
"Var5",0.0112501291273064,0.0246111234373464,0.0292540457722877
"LinkedIn_Shared",0.00447059508951953,0.0184343876853015,0.0116345877621373
"Var2",0.00345512169114042,0.0106849650104152,0.0120654984199943
"Online_Follower",0.00255895295513627,0.0117247325291528,0.00909700277697979
"Twitter_Shared",0.00214268079350569,0.0103260970575653,0.0080436656133295
"Facebook_Shared",0.00103406648838728,0.00214247720917497,0.00536244374221967
"Category3",0.000688543071399452,0.00258011934542697,0.00239394809920521
"Var4",0.000193866206178814,0.000463216891332222,0.00129273197357081
